Rk,Player,Tm,Sal2122,Sal2223,Signed Using,Guaranteed
253,Chris Duarte,IND,"$3,749,520 ","$3,936,960 ",1st Round Pick,"$7,686,480 "
254,Alex Len,SAC,"$3,732,000 ","$3,918,600 ",Bi-Annual Exception,"$7,650,600 "
255,Robert Williams,BOS,"$3,661,976 ","$10,700,000 ",1st Round Pick,"$51,597,976 "
256,Jevon Carter,BRK,"$4,107,149 ","$6,025,000 ",,"$7,575,000 "
257,Aaron Nesmith,BOS,"$3,631,200 ","$3,804,360 ",1st Round Pick,"$7,435,560 "
258,Moses Moody,GSW,"$3,562,080 ","$3,740,160 ",1st Round Pick,"$7,302,240 "
259,Mike Muscala,OKC,"$3,500,000 ","$3,500,000 ",MLE,"$3,500,000 "
260,Boban Marjanović,DAL,"$3,500,000 ","$3,500,000 ",Early Bird,"$3,500,000 "
261,Cole Anthony,ORL,"$3,449,400 ","$3,613,680 ",1st Round Pick,"$7,063,080 "
262,Corey Kispert,WAS,"$3,383,640 ","$3,552,960 ",1st Round Pick,"$6,936,600 "
263,Georges Niang,PHI,"$3,300,000 ","$3,465,000 ",MLE,"$6,765,000 "
264,Michael Carter-Williams,ORL,"$3,300,000 ",,,"$3,300,000 "
265,Chuma Okeke,ORL,"$3,277,080 ","$3,433,320 ",1st Round Pick,"$6,710,400 "
266,Isaiah Stewart,DET,"$3,277,080 ","$3,433,320 ",1st Round Pick,"$6,710,400 "
267,Nickeil Alexander-Walker,UTA,"$3,261,480 ","$5,009,633 ",1st Round Pick,"$8,271,113 "
268,Alperen Şengün,HOU,"$3,214,680 ","$3,375,480 ",1st Round Pick,"$6,590,160 "
269,Nicolas Batum,LAC,"$8,856,969 ","$19,700,319 ",Non Bird,"$25,724,197 "
270,Jon Leuer,MIL,"$3,169,347 ",,,"$3,169,347 "
271,Trey Burke,DAL,"$3,150,000 ","$3,300,000 ",MLE,"$3,150,000 "
272,Aleksej Pokusevski,OKC,"$3,113,160 ","$3,261,480 ",1st Round Pick,"$6,374,640 "
273,Goga Bitadze,IND,"$3,098,400 ","$4,765,339 ",1st Round Pick,"$7,863,739 "
274,Trey Murphy III,NOP,"$3,053,760 ","$3,206,640 ",1st Round Pick,"$6,260,400 "
275,Frank Jackson,DET,"$3,000,000 ","$3,150,000 ",Cap Space,"$3,000,000 "
276,Sterling Brown,DAL,"$3,000,000 ","$3,000,000 ",Bi-Annual Exception,"$3,000,000 "
277,Facundo Campazzo,DEN,"$2,975,000 ",,Bi-Annual Exception,"$2,975,000 "
278,Josh Green,DAL,"$2,957,520 ","$3,098,400 ",1st Round Pick,"$6,055,920 "
279,Tre Mann,OKC,"$2,901,240 ","$3,046,200 ",1st Round Pick,"$5,947,440 "
280,Dewayne Dedmon,DET,"$5,256,308 ","$7,566,667 ",,"$11,466,668 "
281,Andrew Nicholson,POR,"$2,844,430 ","$2,844,430 ",,"$8,533,290 "
282,Matisse Thybulle,PHI,"$2,840,160 ","$4,379,527 ",1st Round Pick,"$7,219,687 "
283,Saddiq Bey,DET,"$2,824,320 ","$2,959,080 ",1st Round Pick,"$5,783,400 "
284,Kai Jones,CHO,"$2,770,560 ","$2,909,160 ",1st Round Pick,"$5,679,720 "
285,Brandon Clarke,MEM,"$2,726,880 ","$4,343,920 ",1st Round Pick,"$7,070,800 "
286,Precious Achiuwa,TOR,"$2,711,280 ","$2,840,160 ",1st Round Pick,"$5,551,440 "
287,Jalen Johnson,ATL,"$2,659,560 ","$2,792,520 ",1st Round Pick,"$5,452,080 "
288,Paul Millsap,PHI,"$2,641,691 ",,Minimum Salary,"$2,641,691 "
289,E'Twaun Moore,ORL,"$2,641,691 ",,,"$2,641,691 "
290,Udonis Haslem,MIA,"$2,641,691 ",,Minimum Salary,"$2,641,691 "
291,Markieff Morris,MIA,"$2,641,691 ",,Minimum Salary,"$2,641,691 "
292,Trevor Ariza,LAL,"$2,641,691 ",,,"$2,641,691 "
293,DeAndre Jordan,LAL,"$11,109,327 ","$7,827,907 ",,"$2,641,691 "
294,Avery Bradley,LAL,"$2,641,691 ",,Minimum Salary,"$2,641,691 "
295,Dwight Howard,LAL,"$2,641,691 ",,Minimum Salary,"$2,641,691 "
296,Wayne Ellington,LAL,"$2,641,691 ",,Minimum Salary,"$2,641,691 "
297,Carmelo Anthony,LAL,"$2,641,691 ",,Minimum Salary,"$2,641,691 "
298,Enes Freedom,HOU,"$2,641,691 ",,,"$2,641,691 "
299,Andre Iguodala,GSW,"$2,641,691 ",,Minimum Salary,"$2,641,691 "
300,Ed Davis,CLE,"$2,641,691 ",,Minimum Salary,"$2,641,691 "
301,Rajon Rondo,CLE,"$2,641,691 ",,Minimum Salary,"$2,641,691 "
302,James Johnson,BRK,"$2,641,691 ",,,"$2,641,691 "
303,Blake Griffin,BRK,"$32,405,817 ",,Minimum Salary,"$2,641,691 "
304,LaMarcus Aldridge,BRK,"$2,641,691 ",,Minimum Salary,"$2,641,691 "
305,Grant Williams,BOS,"$2,617,800 ","$4,306,281 ",1st Round Pick,"$6,924,081 "
306,Tyrese Maxey,PHI,"$2,602,920 ","$2,726,880 ",1st Round Pick,"$5,329,800 "
307,Keon Johnson,POR,"$2,553,240 ","$2,681,040 ",1st Round Pick,"$5,234,280 "
308,Darius Bazley,OKC,"$2,513,040 ","$4,264,629 ",1st Round Pick,"$6,777,669 "
309,Trey Lyles,SAC,"$2,500,000 ","$2,625,000 ",Cap Space,"$5,125,000 "
310,Zeke Nnaji,DEN,"$2,498,760 ","$2,617,800 ",1st Round Pick,"$5,116,560 "
311,Isaiah Jackson,IND,"$2,451,120 ","$2,573,760 ",1st Round Pick,"$5,024,880 "
312,Ty Jerome,OKC,"$2,412,840 ","$4,220,057 ",1st Round Pick,"$6,632,897 "
313,Hassan Whiteside,UTA,"$2,401,537 ",,Minimum Salary,"$2,401,537 "
314,Kent Bazemore,LAL,"$2,401,537 ",,Minimum Salary,"$2,401,537 "
315,Austin Rivers,DEN,"$2,401,537 ",,Minimum Salary,"$2,401,537 "
316,Andre Drummond,BRK,"$2,401,537 ","$3,219,512 ",Minimum Salary,"$2,401,537 "
317,Cory Joseph,DET,"$4,910,000 ","$5,155,000 ",,"$12,465,000 "
318,Victor Oladipo,MIA,,"$8,563,846 ",Minimum Salary,"$10,953,487 "
319,Dewayne Dedmon,MIA,"$5,256,308 ","$7,566,667 ",Minimum Salary,"$7,089,641 "
320,Cody Zeller,POR,"$2,389,641 ",,,"$2,389,641 "
321,Ben McLemore,POR,"$2,389,641 ",,Minimum Salary,"$2,389,641 "
322,Solomon Hill,NYK,"$2,389,641 ",,,"$2,389,641 "
323,Tony Snell,NOP,"$2,389,641 ",,Minimum Salary,"$2,389,641 "
324,Otto Porter Jr.,GSW,"$2,389,641 ","$6,000,000 ",Minimum Salary,"$2,389,641 "
325,Usman Garuba,HOU,"$2,353,320 ","$2,471,160 ",1st Round Pick,"$4,824,480 "
326,Leandro Bolmaro,MIN,"$2,353,320 ","$2,471,160 ",1st Round Pick,"$2,353,320 "
327,Willy Hernangómez,NOP,"$2,327,220 ","$2,443,581 ",Non Bird,"$4,770,801 "
328,Nassir Little,POR,"$2,316,240 ","$4,171,548 ",1st Round Pick,"$6,487,788 "
329,R.J. Hampton,ORL,"$2,303,040 ","$2,412,840 ",1st Round Pick,"$4,715,880 "
330,Josh Christopher,HOU,"$2,259,240 ","$2,372,160 ",1st Round Pick,"$4,631,400 "
331,Monta Ellis,IND,"$2,245,400 ",,,"$2,245,400 "
332,Elfrid Payton,PHO,"$2,239,544 ",,Minimum Salary,"$2,239,544 "
333,Rodney Hood,LAC,"$2,239,544 ",,Minimum Salary,"$2,239,544 "
334,Dylan Windler,CLE,"$2,239,200 ","$4,037,278 ",1st Round Pick,"$6,276,478 "
335,Immanuel Quickley,NYK,"$2,210,640 ","$2,316,240 ",1st Round Pick,"$4,526,880 "
336,John Konchar,MEM,"$2,200,000 ","$2,300,000 ",MLE,"$3,040,000 "
337,Quentin Grimes,NYK,"$2,168,760 ","$2,277,000 ",1st Round Pick,"$4,445,760 "
338,Jordan Poole,GSW,"$2,161,440 ","$3,901,399 ",1st Round Pick,"$6,062,839 "
339,Bol Bol,ORL,"$2,161,152 ",,MLE,"$2,161,152 "
340,Keldon Johnson,SAS,"$2,145,720 ","$3,873,025 ",1st Round Pick,"$6,018,745 "
341,Payton Pritchard,BOS,"$2,137,440 ","$2,239,200 ",1st Round Pick,"$4,376,640 "
342,Bones Hyland,DEN,"$2,096,880 ","$2,201,400 ",1st Round Pick,"$4,298,280 "
343,Raul Neto,WAS,"$2,089,448 ",,Minimum Salary,"$2,089,448 "
344,Frank Kaminsky,PHO,"$2,089,448 ",,,"$2,089,448 "
345,Nemanja Bjelica,GSW,"$2,089,448 ",,Minimum Salary,"$2,089,448 "
346,Udoka Azubuike,UTA,"$2,075,880 ","$2,174,880 ",1st Round Pick,"$4,250,760 "
347,Jaden McDaniels,MIN,"$2,063,280 ","$2,161,440 ",1st Round Pick,"$4,224,720 "
348,Malachi Flynn,TOR,"$2,048,040 ","$2,145,720 ",1st Round Pick,"$4,193,760 "
349,Cam Thomas,BRK,"$2,036,280 ","$2,138,160 ",1st Round Pick,"$4,174,440 "
350,Desmond Bane,MEM,"$2,033,160 ","$2,130,240 ",1st Round Pick,"$4,163,400 "
351,Jaden Springer,PHI,"$2,023,680 ","$2,125,200 ",1st Round Pick,"$4,148,880 "
352,Day'Ron Sharpe,BRK,"$2,009,040 ","$2,109,360 ",1st Round Pick,"$4,118,400 "
353,Jordan McLaughlin,MIN,"$2,000,000 ","$2,160,000 ",Early Bird,"$4,160,000 "
354,Jeremiah Robinson-Earl,OKC,"$2,000,000 ","$2,000,000 ",MLE,"$4,000,000 "
355,Abdel Nader,PHO,"$2,000,000 ",,,"$2,000,000 "
356,Théo Maledon,OKC,"$2,000,000 ","$1,900,000 ",MLE,"$2,000,000 "
357,Kenrich Williams,OKC,"$2,000,000 ","$2,000,000 ",Sign and Trade,"$2,000,000 "
358,Garrison Mathews,HOU,"$2,000,000 ","$2,000,000 ",Cap Space,"$2,000,000 "
359,Santi Aldama,MEM,"$1,994,520 ","$2,094,240 ",1st Round Pick,"$4,088,760 "
360,Damian Jones,SAC,"$1,977,011 ","$2,298,385 ",Minimum Salary,"$1,977,011 "
361,Wesley Matthews,MIL,"$1,958,501 ","$2,905,851 ",Minimum Salary,"$4,864,352 "
362,Gary Payton II,GSW,"$1,939,350 ","$8,300,000 ",Minimum Salary,"$1,939,350 "
363,Rodney McGruder,DET,"$1,939,350 ",,Minimum Salary,"$1,939,350 "
364,DeAndre' Bembry,BRK,"$2,541,217 ",,,"$1,939,350 "
365,Timothé Luwawu-Cabarrot,ATL,"$1,939,350 ",,Minimum Salary,"$1,939,350 "
366,PJ Dozier,ORL,"$1,910,860 ",,,"$1,910,860 "
367,Damion Lee,GSW,"$1,910,860 ","$2,133,278 ",MLE,"$1,910,860 "
368,Killian Tillie,MEM,"$1,901,625 ","$1,901,625 ",Room Exception,"$3,803,250 "
369,Larry Sanders,MIL,"$1,865,547 ",,,"$1,865,547 "
370,Shake Milton,PHI,"$1,846,738 ","$1,997,718 ",Cap Space,"$3,844,456 "
371,Mitchell Robinson,NYK,"$1,802,057 ",,MLE,"$1,802,057 "
372,Jalen Brunson,DAL,"$1,802,057 ",,Cap Space,"$1,802,057 "
373,Tony Bradley,CHI,"$1,789,256 ","$2,036,318 ",Minimum Salary,"$3,825,574 "
374,Dennis Smith Jr.,POR,"$1,789,256 ",,,"$1,789,256 "
